,id,fish id
0,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094220.jpg,
1,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094022.jpg,2
2,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095300.jpg,36
3,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080433.jpg,
4,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084641.jpg,40
5,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080209.jpg,37
6,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103954.jpg,194
7,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094433.jpg,
8,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124643.jpg,654
9,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603075915.jpg,33
10,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094631.jpg,19
11,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085238.jpg,416
12,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094745.jpg,22
13,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103439.jpg,181
14,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095103.jpg,31
15,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094209.jpg,
16,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094553.jpg,16
17,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084332.jpg,94
18,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084859.jpg,406
19,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081935.jpg,59
20,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081909.jpg,58
21,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085206.jpg,414
22,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094356.jpg,11
