,id,fish id,grams
0,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110646.jpg,292,90976
1,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102524.jpg,141,62147
2,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110652.jpg,292,90969
3,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105539.jpg,256,14220
4,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094220.jpg,,7525
5,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325101011.jpg,94,73923
6,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122637.jpg,596,65139
7,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125158.jpg,676,1
8,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130233.jpg,717,04990
9,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112938.jpg,379,50324
10,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115931.jpg,482,83449
11,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124534.jpg,649,
12,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131111.jpg,759,6
13,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132418.jpg,806,21592
14,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124939.jpg,666,58
15,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112253.jpg,349,73334
16,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094022.jpg,2,62372
17,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115528.jpg,469,7594
18,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112247.jpg,349,73338
19,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100643.jpg,82,4592
20,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102732.jpg,149,107762
21,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104343.jpg,208,73570
22,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132801.jpg,818,23
23,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095300.jpg,36,044944
24,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120222.jpg,497,46882
25,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132626.jpg,817,1990
26,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105934.jpg,272,5992
27,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130743.jpg,742,34507
28,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132154.jpg,793,16520
29,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124736.jpg,658,59184
30,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105908.jpg,270,99373
31,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130019.jpg,706,9
32,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104223.jpg,203,63208
33,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114030.jpg,419,4058
34,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100045.jpg,63,7970
35,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102134.jpg,128,68243
36,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104551.jpg,218,13769
37,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112455.jpg,361,66470
38,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130804.jpg,744,2
39,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111612.jpg,331,6880
40,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130145.jpg,713,3
41,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105840.jpg,268,15634
42,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132034.jpg,786,24560
43,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131529.jpg,771,16544
44,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103028.jpg,163,51970
45,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110054.jpg,277,31679
46,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131930.jpg,781,15980
47,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111410.jpg,322,527579
48,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325101603.jpg,109,69064
49,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325113213.jpg,389,74552
50,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120801.jpg,518,48544
51,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130353.jpg,725,
52,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124326.jpg,640,
53,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125038.jpg,670,2
54,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122757.jpg,600,
55,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130409.jpg,726,434
56,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131717.jpg,775,1749
57,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123312.jpg,607,865
58,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110900.jpg,300,01848
59,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123306.jpg,607,813
60,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122018.jpg,569,
61,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125011.jpg,668,
62,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325133129.jpg,,265879
63,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130420.jpg,727,
64,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120155.jpg,495,428579
65,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103954.jpg,194,6444
66,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103001.jpg,161,109942
67,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131919.jpg,780,18549
68,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325113548.jpg,400,65358
69,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094433.jpg,,086
70,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115139.jpg,454,52829
71,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131925.jpg,781,1597742
72,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120828.jpg,520,5646
73,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102337.jpg,134,77842
74,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104020.jpg,196,
75,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112642.jpg,370,458
76,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123104.jpg,602,0744
77,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124643.jpg,654,8148
78,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111820.jpg,339,33092
79,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130150.jpg,713,8
80,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122554.jpg,593,79569
81,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130622.jpg,735,8
82,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122226.jpg,579,14958
83,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325113010.jpg,381,4999
84,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111607.jpg,330,79649
85,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325121908.jpg,562,15982
86,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114743.jpg,444,29939
87,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105128.jpg,240,62154
88,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094631.jpg,19,54298
89,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100050.jpg,63,79764
90,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132948.jpg,827,
91,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125401.jpg,682,
92,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114804.jpg,445,57434
93,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123058.jpg,602,
94,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122346.jpg,584,413289
95,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124051.jpg,632,
96,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111015.jpg,305,52384
97,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132828.jpg,820,00
98,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114151.jpg,422,263768
99,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094745.jpg,22,20138
100,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114145.jpg,422,45
